,zip_code,CBSA Title,MSA_central_outlying,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt
389,38012,"Brownsville, TN",Central,1198.0,164.0,190.0,844.0,38.0,12.0,24.0,2.0,184.0,98.0,84.0,2.0,6.0,6.0,,,6.0,4.0,2.0,,44109925.0,2950052.0,5628844.0,35531028.0,2458223.0,150198.0,1713775.0,594250.0,2882126.0,1448000.0,1412876.0,21250.0,810548.0,810548.0,,,72582.0,52582.0,20000.0,
390,38015,"Memphis, TN-MS-AR",Outlying,76.0,,26.0,50.0,16.0,,16.0,,6.0,,6.0,,,,,,,,,,15577322.0,,1398108.0,14179214.0,237278.0,,237278.0,,979330.0,,979330.0,,,,,,,,,
391,38016,"Memphis, TN-MS-AR",Central,5390.0,1334.0,1254.0,2802.0,214.0,78.0,136.0,,1528.0,826.0,684.0,18.0,62.0,26.0,36.0,,44.0,22.0,22.0,,150928750.0,22537256.0,38255087.0,90136406.0,5926092.0,1328030.0,4598062.0,,27851646.0,13731576.0,13817624.0,302446.0,1060870.0,308084.0,752786.0,,618632.0,187712.0,430920.0,
392,38017,"Memphis, TN-MS-AR",Central,3788.0,560.0,1012.0,2216.0,540.0,186.0,340.0,14.0,282.0,126.0,150.0,6.0,40.0,10.0,26.0,4.0,58.0,14.0,44.0,,259711344.0,19996516.0,63784978.0,175929851.0,41392754.0,8934836.0,24111513.0,8346406.0,6478805.0,2405296.0,3948510.0,124999.0,1522592.0,246896.0,1255676.0,20020.0,1599640.0,206338.0,1393302.0,
393,38018,"Memphis, TN-MS-AR",Central,4476.0,1052.0,998.0,2426.0,230.0,84.0,134.0,12.0,1042.0,620.0,398.0,24.0,76.0,36.0,40.0,,58.0,18.0,40.0,,213680682.0,27543922.0,48297490.0,137839271.0,25027897.0,9323760.0,14371176.0,1332962.0,20502418.0,10511900.0,9250562.0,739956.0,1768834.0,676744.0,1092090.0,,1659576.0,333074.0,1326502.0,
394,38019,"Memphis, TN-MS-AR",Outlying,1428.0,228.0,374.0,826.0,54.0,14.0,40.0,,144.0,74.0,66.0,4.0,2.0,2.0,,,10.0,,10.0,,46516491.0,4317731.0,12128800.0,30069960.0,851808.0,136342.0,715466.0,,2683696.0,1297736.0,1292594.0,93366.0,557476.0,557476.0,,,169874.0,,169874.0,
395,38021,,Outlying,4.0,,4.0,,,,,,,,,,,,,,,,,,68434.0,,68434.0,,,,,,,,,,,,,,,,,
396,38023,"Memphis, TN-MS-AR",Outlying,158.0,16.0,50.0,92.0,14.0,2.0,12.0,,18.0,4.0,14.0,,2.0,,2.0,,,,,,3488961.0,199858.0,977526.0,2311576.0,110812.0,10830.0,99982.0,,282338.0,83328.0,199010.0,,41666.0,,41666.0,,,,,
397,38024,"Dyersburg, TN",Central,1832.0,180.0,370.0,1282.0,280.0,64.0,208.0,8.0,98.0,38.0,60.0,,,,,,18.0,4.0,2.0,12.0,84980332.0,2668309.0,10685212.0,71626812.0,7208498.0,942166.0,5823986.0,442346.0,1386748.0,570786.0,815963.0,,,,,,659862.0,22326.0,23250.0,614286.0
398,38028,"Memphis, TN-MS-AR",Outlying,622.0,70.0,122.0,430.0,92.0,36.0,54.0,2.0,52.0,14.0,34.0,4.0,2.0,,2.0,,,,,,31825636.0,2355446.0,3453501.0,26016690.0,3005646.0,1312518.0,1663329.0,29800.0,991584.0,205764.0,717074.0,68746.0,45260.0,,45260.0,,,,,
399,38029,"Memphis, TN-MS-AR",Central,8.0,,6.0,2.0,4.0,,4.0,,,,,,,,,,,,,,182128.0,,82952.0,99176.0,46442.0,,46442.0,,,,,,,,,,,,,
400,38030,"Dyersburg, TN",Central,74.0,4.0,18.0,52.0,18.0,4.0,14.0,,,,,,,,,,,,,,1048120.0,19700.0,211978.0,816442.0,200760.0,19700.0,181060.0,,,,,,,,,,,,,
401,38034,"Jackson, TN",Outlying,238.0,28.0,102.0,108.0,74.0,10.0,64.0,,,,,,2.0,2.0,,,,,,,6187042.0,429872.0,2247430.0,3509742.0,1356703.0,117140.0,1239564.0,,,,,,9200.0,9200.0,,,,,,
402,38036,,Outlying,32.0,4.0,12.0,16.0,8.0,4.0,4.0,,,,,,,,,,,,,,1926352.0,65066.0,1091118.0,770168.0,250066.0,65066.0,185000.0,,,,,,,,,,,,,
403,38037,,Outlying,92.0,18.0,26.0,48.0,20.0,6.0,14.0,,10.0,4.0,6.0,,,,,,,,,,2644863.0,204620.0,906542.0,1533700.0,390436.0,63010.0,327426.0,,194988.0,71664.0,123324.0,,,,,,,,,
404,38039,,Outlying,212.0,80.0,32.0,100.0,,,,,72.0,54.0,18.0,,,,,,,,,,4073826.0,1377484.0,899055.0,1797288.0,,,,,1391986.0,991600.0,400386.0,,,,,,,,,
405,38040,,Outlying,362.0,54.0,120.0,188.0,130.0,30.0,90.0,10.0,14.0,8.0,6.0,,,,,,,,,,13187672.0,1889910.0,4910052.0,6387712.0,5361823.0,873857.0,4088562.0,399404.0,193962.0,139298.0,54664.0,,,,,,,,,
406,38041,,Outlying,90.0,34.0,28.0,28.0,12.0,2.0,10.0,,20.0,12.0,8.0,,,,,,,,,,2325094.0,477054.0,1263687.0,584354.0,983528.0,3330.0,980198.0,,378674.0,244616.0,134059.0,,,,,,,,,
407,38042,,Outlying,58.0,2.0,18.0,38.0,4.0,,4.0,,4.0,,4.0,,,,,,,,,,1239770.0,20400.0,478966.0,740404.0,83328.0,,83328.0,,58064.0,,58064.0,,,,,,,,,
408,38044,,Outlying,26.0,,6.0,20.0,12.0,,6.0,6.0,,,,,,,,,,,,,536054.0,,146292.0,389764.0,302592.0,,146292.0,156302.0,,,,,,,,,,,,
409,38046,,Outlying,10.0,,8.0,2.0,2.0,,2.0,,2.0,,2.0,,,,,,,,,,298096.0,,256430.0,41666.0,131434.0,,131434.0,,41664.0,,41664.0,,,,,,,,,
410,38047,"Dyersburg, TN",Central,2.0,,,2.0,,,,,,,,,,,,,,,,,7000.0,,,7000.0,,,,,,,,,,,,,,,,
411,38049,"Memphis, TN-MS-AR",Outlying,364.0,78.0,140.0,146.0,26.0,8.0,18.0,,96.0,38.0,58.0,,,,,,,,,,8309556.0,966780.0,3046592.0,4296184.0,381130.0,24444.0,356686.0,,1458804.0,551784.0,907020.0,,,,,,,,,
412,38050,,Outlying,14.0,,8.0,6.0,4.0,,4.0,,4.0,,4.0,,,,,,,,,,373378.0,,213404.0,159974.0,149990.0,,149990.0,,63414.0,,63414.0,,,,,,,,,
413,38052,,Outlying,264.0,30.0,50.0,184.0,18.0,10.0,8.0,,16.0,12.0,4.0,,,,,,,,,,4765770.0,742476.0,1536916.0,2486378.0,500458.0,357178.0,143280.0,,277182.0,213944.0,63238.0,,,,,,,,,
414,38053,"Memphis, TN-MS-AR",Central,1416.0,248.0,368.0,800.0,160.0,44.0,112.0,4.0,204.0,100.0,104.0,,4.0,2.0,2.0,,8.0,2.0,6.0,,57177048.0,3666078.0,15966662.0,37544308.0,3400648.0,405860.0,2869190.0,125600.0,4503002.0,1745852.0,2757148.0,,77990.0,41664.0,36326.0,,144542.0,10802.0,133742.0,
415,38054,,Outlying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,38057,"Memphis, TN-MS-AR",Outlying,290.0,74.0,54.0,162.0,16.0,,16.0,,68.0,46.0,22.0,,2.0,,2.0,,,,,,13339690.0,1367096.0,1110792.0,10861802.0,217860.0,,217860.0,,1225666.0,846200.0,379466.0,,41664.0,,41664.0,,,,,
417,38058,"Memphis, TN-MS-AR",Outlying,348.0,46.0,76.0,226.0,48.0,20.0,28.0,,24.0,10.0,14.0,,,,,,,,,,9462108.0,1112144.0,2221879.0,6128084.0,1291072.0,585912.0,705158.0,,702510.0,136940.0,565570.0,,,,,,,,,
418,38059,"Dyersburg, TN",Central,446.0,32.0,96.0,318.0,102.0,20.0,80.0,2.0,,,,,6.0,2.0,4.0,,,,,,9605738.0,550718.0,1377519.0,7677500.0,1509190.0,313850.0,1170937.0,24404.0,,,,,50890.0,7914.0,42976.0,,,,,
419,38060,"Memphis, TN-MS-AR",Outlying,768.0,136.0,152.0,480.0,44.0,12.0,30.0,2.0,144.0,90.0,52.0,2.0,2.0,,2.0,,4.0,,4.0,,27028326.0,4016874.0,9517802.0,13493650.0,1297980.0,294248.0,843732.0,160000.0,3552908.0,2683582.0,828314.0,41010.0,206600.0,,206600.0,,69134.0,,69134.0,
420,38061,,Outlying,34.0,2.0,6.0,26.0,10.0,2.0,6.0,2.0,,,,,,,,,,,,,642165.0,41664.0,289230.0,311270.0,359310.0,41664.0,289230.0,28416.0,,,,,,,,,,,,
